observation_month_x,project_id,project_name,line_ministry,sector,cumulative_expenditure_cr,physical_progress_pct,original_cost_cr,latest_revised_cost_cr,cost_escalation_pct,expenditure_ratio_pct,expenditure_progress_gap_pct,progress_change_1m_pct,progress_change_3m_pct,expenditure_change_1m_cr,expenditure_change_3m_cr,cost_risk_score,schedule_risk_score,progress_risk_score,match_status,source_file,source_page,canonical_project_id,revised_cost_cr,revised_cost_source,historical_financial_scoring_available,expenditure_progress_gap,schedule_slippage_days,schedule_slippage_months,project_age_days,project_age_months,progress_change_1m,progress_change_3m,progress_change_6m,expenditure_change_1m,expenditure_change_3m,progress_velocity_3m,expenditure_velocity_3m,anomaly_score,anomaly_flag,observed_months,first_observation_month,latest_observation_month,history_length_months,complete_7_month_history,data_confidence_score,data_confidence_category,trajectory_status,trajectory_risk_score,imbalance_risk_score,schedule_data_available,base_risk_score,risk_dimension_evidence_weight,anomaly_category,anomaly_risk_component,trajectory_risk_component,predictive_risk_score,final_risk_score,risk_category,risk_fusion_method,risk_driver_1,risk_driver_2,risk_driver_3,primary_risk_driver,secondary_risk_driver,risk_explanation,recommended_action,observation_month_y,future_deterioration_probability,predicted_future_deterioration,predictive_risk_band
2026-07-01,101280,,,,,,,,,,,,,,,,,,UNMATCHED_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,122,101280,,latest_revised_cost_cr,False,,,,,,,,,,,,,-0.13529299579073717,False,7,2026-01-01,2026-07-01,7,True,30.0,INSUFFICIENT_EVIDENCE,STABLE,30.0,,False,,0.0,NORMAL,0.0,30.0,,18.0,REVIEW_DATA,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,Data review is required before risk escalation.,Verify missing/ambiguous monitoring data before escalation.,2026-07-01,0.4126,0,WATCH
2026-07-01,106816,,,,,,,,,,,,,,,,,,UNMATCHED_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,129,106816,,latest_revised_cost_cr,False,,,,,,,,,,,,,-0.13529299579073717,False,7,2026-01-01,2026-07-01,7,True,30.0,INSUFFICIENT_EVIDENCE,STABLE,30.0,,False,,0.0,NORMAL,0.0,30.0,,18.0,REVIEW_DATA,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,Data review is required before risk escalation.,Verify missing/ambiguous monitoring data before escalation.,2026-07-01,0.4126,0,WATCH
2026-07-01,108841,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,Telecommunication,435.31,8.15,3742.0,3742.0,0.0,11.633083912346338,3.4830839123463377,8.15,,0.0,,0.0,,0.0,EXACT_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,149,108841,3742.0,latest_revised_cost_cr,False,3.4830839123463377,,,,,8.15,,,0.0,,,,-0.09462041554595169,False,2,2026-06-01,2026-07-01,2,False,53.6,LOW,INSUFFICIENT_DATA,,8.837513518365968,False,1.89,0.7000000000000001,NORMAL,0.0,0.0,,1.65,LOW,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,LIMITED_ADVERSE_EVIDENCE,,,LIMITED_ADVERSE_EVIDENCE,,Limited Adverse Evidence,Continue routine portfolio monitoring.,2026-07-01,0.1927,0,LOW_PREDICTIVE_SIGNAL
2026-01-01,120250,,,,563.2,76.0,,,,,,,,,,,,,UNMATCHED_MASTER_ID,FlashReport_January_2026(1).pdf,101,120250,,latest_revised_cost_cr,False,,,,,,,,,,,,,-0.13543827979911005,False,1,2026-01-01,2026-01-01,1,False,24.3,INSUFFICIENT_EVIDENCE,INSUFFICIENT_DATA,,,False,,0.0,NORMAL,0.0,0.0,,0.0,REVIEW_DATA,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,Data review is required before risk escalation.,Verify missing/ambiguous monitoring data before escalation.,2026-01-01,0.3315,0,WATCH
2026-07-01,124199,Amended BharatNet Program - HR,Department of Telecommunications,Telecommunication,83.68,0.0,837.0,837.0,0.0,9.997610513739549,9.997610513739549,,,,,0.0,,,EXACT_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,149,124199,837.0,latest_revised_cost_cr,False,9.997610513739549,,,,,,,,,,,,-0.08000535684431159,False,1,2026-07-01,2026-07-01,1,False,49.3,LOW,INSUFFICIENT_DATA,,32.19822153024074,False,10.73,0.44999999999999996,NORMAL,0.0,0.0,,9.39,LOW,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,LIMITED_ADVERSE_EVIDENCE,,,LIMITED_ADVERSE_EVIDENCE,,Limited Adverse Evidence,Continue routine portfolio monitoring.,2026-07-01,0.0359,0,LOW_PREDICTIVE_SIGNAL
2026-07-01,169570,,,,,,,,,,,,,,,,,,UNMATCHED_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,122,169570,,latest_revised_cost_cr,False,,,,,,,,,,,,,-0.13529299579073717,False,7,2026-01-01,2026-07-01,7,True,30.0,INSUFFICIENT_EVIDENCE,STABLE,30.0,,False,,0.0,NORMAL,0.0,30.0,,18.0,REVIEW_DATA,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,Data review is required before risk escalation.,Verify missing/ambiguous monitoring data before escalation.,2026-07-01,0.4126,0,WATCH
2026-07-01,171218,Amended BharatNet Program - PB,Department of Telecommunications,Telecommunication,0.0,26.58,1245.0,1245.0,0.0,0.0,-26.58,,,,,0.0,,,EXACT_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,149,171218,1245.0,latest_revised_cost_cr,False,-26.58,,,,,,,,,,,,-0.08579518150843068,False,1,2026-07-01,2026-07-01,1,False,49.3,LOW,INSUFFICIENT_DATA,,0.0,False,0.0,0.44999999999999996,NORMAL,0.0,0.0,,0.0,LOW,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,LIMITED_ADVERSE_EVIDENCE,,,LIMITED_ADVERSE_EVIDENCE,,Limited Adverse Evidence,Continue routine portfolio monitoring.,2026-07-01,0.1132,0,LOW_PREDICTIVE_SIGNAL
2026-07-01,175860,"Amended BharatNet Program - MP, DD and DNH",Department of Telecommunications,Telecommunication,562.13,8.4,4943.0,4943.0,0.0,11.372243576775237,2.972243576775238,,,,,0.0,,,EXACT_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,149,175860,4943.0,latest_revised_cost_cr,False,2.972243576775236,,,,,,,,,,,,-0.09516947314547608,False,1,2026-07-01,2026-07-01,1,False,49.3,LOW,INSUFFICIENT_DATA,,7.005670216442467,False,2.34,0.44999999999999996,NORMAL,0.0,0.0,,2.05,LOW,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,LIMITED_ADVERSE_EVIDENCE,,,LIMITED_ADVERSE_EVIDENCE,,Limited Adverse Evidence,Continue routine portfolio monitoring.,2026-07-01,0.311,0,WATCH
2026-01-01,186000,,,,0.0,27.0,,,,,,,,,,,,,UNMATCHED_MASTER_ID,FlashReport_January_2026(1).pdf,110,186000,,latest_revised_cost_cr,False,,,,,,,,,,,,,-0.1102321347433442,False,1,2026-01-01,2026-01-01,1,False,24.3,INSUFFICIENT_EVIDENCE,INSUFFICIENT_DATA,,,False,,0.0,NORMAL,0.0,0.0,,0.0,REVIEW_DATA,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,Data review is required before risk escalation.,Verify missing/ambiguous monitoring data before escalation.,2026-01-01,0.3717,0,WATCH
2026-01-01,188000,,,,46431.54,81.0,,,,,,,,,,,,,UNMATCHED_MASTER_ID,FlashReport_January_2026(1).pdf,131,188000,,latest_revised_cost_cr,False,,,,,,,,,,,,,-0.13524441672244264,False,1,2026-01-01,2026-01-01,1,False,24.3,INSUFFICIENT_EVIDENCE,INSUFFICIENT_DATA,,,False,,0.0,NORMAL,0.0,0.0,,0.0,REVIEW_DATA,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,Data review is required before risk escalation.,Verify missing/ambiguous monitoring data before escalation.,2026-01-01,0.3315,0,WATCH
2026-01-01,188830,,,,1230.42,95.0,,,,,,,,,,,,,UNMATCHED_MASTER_ID,FlashReport_January_2026(1).pdf,120,188830,,latest_revised_cost_cr,False,,,,,,,,,,,,,-0.1337008887481288,False,1,2026-01-01,2026-01-01,1,False,24.3,INSUFFICIENT_EVIDENCE,INSUFFICIENT_DATA,,,False,,0.0,NORMAL,0.0,0.0,,0.0,REVIEW_DATA,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,Data review is required before risk escalation.,Verify missing/ambiguous monitoring data before escalation.,2026-01-01,0.1818,0,LOW_PREDICTIVE_SIGNAL
2026-01-01,205974,,,,365.34,83.0,,,,,,,,,,,,,UNMATCHED_MASTER_ID,FlashReport_January_2026(1).pdf,112,205974,,latest_revised_cost_cr,False,,,,,,,,,,,,,-0.13375599402396987,False,1,2026-01-01,2026-01-01,1,False,24.3,INSUFFICIENT_EVIDENCE,INSUFFICIENT_DATA,,,False,,0.0,NORMAL,0.0,0.0,,0.0,REVIEW_DATA,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,Data review is required before risk escalation.,Verify missing/ambiguous monitoring data before escalation.,2026-01-01,0.3319,0,WATCH
2026-07-01,210914,Amended BharatNet Program - WB & ANI,Department of Telecommunications,Telecommunication,223.41,15.13,1674.0,1674.0,0.0,13.345878136200716,-1.7841218637992835,,,,,0.0,,,EXACT_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,149,210914,1674.0,latest_revised_cost_cr,False,-1.7841218637992835,,,,,,,,,,,,-0.10037325033985683,False,1,2026-07-01,2026-07-01,1,False,49.3,LOW,INSUFFICIENT_DATA,,0.0,False,0.0,0.44999999999999996,NORMAL,0.0,0.0,,0.0,LOW,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,LIMITED_ADVERSE_EVIDENCE,,,LIMITED_ADVERSE_EVIDENCE,,Limited Adverse Evidence,Continue routine portfolio monitoring.,2026-07-01,0.4223,0,WATCH
2026-07-01,222253,Amended BharatNet Program - UP (East),Department of Telecommunications,Telecommunication,502.0,7.65,5008.0,5008.0,0.0,10.023961661341852,2.373961661341852,7.65,,0.0,,0.0,,0.0,EXACT_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,150,222253,5008.0,latest_revised_cost_cr,False,2.373961661341852,,,,,7.65,,,0.0,,,,-0.09349055459010058,False,2,2026-06-01,2026-07-01,2,False,53.6,LOW,INSUFFICIENT_DATA,,4.860266568503499,False,1.04,0.7000000000000001,NORMAL,0.0,0.0,,0.91,LOW,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,LIMITED_ADVERSE_EVIDENCE,,,LIMITED_ADVERSE_EVIDENCE,,Limited Adverse Evidence,Continue routine portfolio monitoring.,2026-07-01,0.1617,0,LOW_PREDICTIVE_SIGNAL
2026-01-01,225770,,,,751.95,31.0,,,,,,,,,,,,,UNMATCHED_MASTER_ID,FlashReport_January_2026(1).pdf,120,225770,,latest_revised_cost_cr,False,,,,,,,,,,,,,-0.111377266110532,False,1,2026-01-01,2026-01-01,1,False,24.3,INSUFFICIENT_EVIDENCE,INSUFFICIENT_DATA,,,False,,0.0,NORMAL,0.0,0.0,,0.0,REVIEW_DATA,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,Data review is required before risk escalation.,Verify missing/ambiguous monitoring data before escalation.,2026-01-01,0.3717,0,WATCH
2026-07-01,240484,Amended BharatNet Program - AS,Department of Telecommunications,Telecommunication,83.16,0.0,832.0,832.0,0.0,9.995192307692308,9.995192307692308,,,,,0.0,,,EXACT_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,149,240484,832.0,latest_revised_cost_cr,False,9.995192307692308,,,,,,,,,,,,-0.08000535684431159,False,1,2026-07-01,2026-07-01,1,False,49.3,LOW,INSUFFICIENT_DATA,,32.189549986038266,False,10.73,0.44999999999999996,NORMAL,0.0,0.0,,9.39,LOW,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,LIMITED_ADVERSE_EVIDENCE,,,LIMITED_ADVERSE_EVIDENCE,,Limited Adverse Evidence,Continue routine portfolio monitoring.,2026-07-01,0.0359,0,LOW_PREDICTIVE_SIGNAL
2026-07-01,245986,Jaipur Metro Rail Project Phase 2 (Prahladpura to Todi Mod),Ministry of Housing & Urban Affairs,Urban Public Transport,1.79,1.79,13037.66,13037.66,0.0,0.0137294575867141,-1.776270542413286,,,,,0.0,,,EXACT_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,68,245986,13037.66,latest_revised_cost_cr,False,-1.776270542413286,,,,,,,,,,,,-0.08540004583208083,False,1,2026-07-01,2026-07-01,1,False,49.3,LOW,INSUFFICIENT_DATA,,0.0,False,0.0,0.44999999999999996,NORMAL,0.0,0.0,,0.0,LOW,70% current domain + 15% trajectory + 10% anomaly + 5% predictive deterioration,LIMITED_ADVERSE_EVIDENCE,,,LIMITED_ADVERSE_EVIDENCE,,Limited Adverse Evidence,Continue routine portfolio monitoring.,2026-07-01,0.0279,0,LOW_PREDICTIVE_SIGNAL
